ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000010322.11,265.8971603,0.044064429,0.136336452,0.323203581,0.746541069,0.999968843
ENSG00000010327.6,11.64360131,-0.284756943,0.525482671,-0.541895972,0.587890172,0.999968843
ENSG00000010361.9,28.58297659,-0.07574313,0.207874498,-0.364369514,0.715582098,0.999968843
ENSG00000010404.13,627.0012783,0.038012591,0.160793497,0.23640627,0.813117431,0.999968843
ENSG00000010438.12,10.9491601,0.064954807,0.38652815,0.168046768,0.866546486,0.999968843
ENSG00000010610.5,15.22657918,-0.261150351,0.450994184,-0.579054807,0.562552193,0.999968843
ENSG00000010626.10,16.89459335,-0.049880979,0.229289068,-0.217546259,0.82778266,0.999968843
ENSG00000010803.12,45.37173031,0.035543072,0.188041388,0.189017283,0.850079271,0.999968843
ENSG00000010810.12,162.0910913,-0.031865651,0.101796498,-0.313032879,0.754255683,0.999968843
ENSG00000010818.4,256.9942466,0.099189437,0.215215011,0.46088531,0.644880892,0.999968843
ENSG00000011007.7,32.23303906,-0.055815469,0.179032558,-0.311761557,0.755221742,0.999968843
ENSG00000011009.6,22.14431539,0.062041246,0.222694,0.27859415,0.780556302,0.999968843
ENSG00000011021.17,127.2631278,0.014785656,0.129912545,0.113812381,0.909386524,0.999968843
ENSG00000011028.9,18.10452679,-0.073408837,0.277752497,-0.264295866,0.791551945,0.999968843
ENSG00000011083.4,80.04922709,0.102606225,0.416261769,0.246494472,0.805299483,0.999968843
ENSG00000011105.7,29.06089321,0.017908919,0.385309303,0.046479332,0.962928207,0.999968843
ENSG00000011114.10,14.79421535,-0.057582362,0.261330694,-0.220342895,0.825604116,0.999968843
ENSG00000011201.6,21.98213774,0.044458435,0.283189511,0.156991813,0.8752513,0.999968843
ENSG00000011243.12,27.80656281,-0.040029363,0.183140031,-0.218572439,0.826983124,0.999968843
ENSG00000011258.11,11.45604672,-0.178880177,0.406204281,-0.440369994,0.659669154,0.999968843
