ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000139344,10.453297551855615,-0.4418795721942518,0.4726816362839931,-0.9348354966105874,0.3498730832041186,0.6382170139833389,AMDHD1
ENSG00000139350,454.30462423317323,0.06688242868914263,0.10796999710337954,0.6194538342453022,0.5356174258203457,0.785506074428341,NEDD1
ENSG00000139354,124.24859558007674,-1.1293391272174718,0.25231892380307264,-4.475839981383588,7.611147623235341e-06,0.00016589451829454916,GAS2L3
ENSG00000139364,72.65530563330772,-0.4421123243471061,0.4989334215520867,-0.8861148707412284,0.3755556304802604,0.6618540946424607,TMEM132B
ENSG00000139370,540.0306273577759,0.2051999746806513,0.10326926061425841,1.9870382867089038,0.04691815419227166,0.1857114379238497,SLC15A4
ENSG00000139372,319.2586913383986,0.01272668168878895,0.10317576627228607,0.12334952429820188,0.9018303255102368,0.967574157701735,TDG
ENSG00000139405,166.47528424656707,-0.03628905679612063,0.12629671925808378,-0.2873317455061122,0.7738583175964158,0.9199857110364399,RITA1
ENSG00000139410,64.02400048121866,-0.829539726555322,0.23791067756485665,-3.4867696357561835,0.0004888922774544587,0.00555434389385832,SDSL
ENSG00000139428,100.90335353827368,-0.559041763301522,0.21116208333279493,-2.647453342371428,0.008110055022608085,0.05169278549192806,MMAB
ENSG00000139433,1031.2046902940895,0.19259440820654888,0.14741226740829133,1.3065019051169973,0.19138193158123107,0.45540937933439274,GLTP
ENSG00000139436,935.8551540274686,0.5147601434127914,0.12207921959354928,4.216607422021819,2.480051732392814e-05,0.0004647983317782783,GIT2
ENSG00000139437,395.9492327512172,0.37504755237390286,0.1049206025635984,3.574584430608516,0.00035078460582573206,0.004235740167112302,TCHP
ENSG00000139496,670.0404932789867,0.21947835519231426,0.16313051865257444,1.3454156647398765,0.17849103934690203,0.4364705739908768,NUP58
ENSG00000139505,802.1816685974853,-0.004706327923129714,0.0835314817632609,-0.0563419662118297,0.9550693877086845,0.9856331057698491,MTMR6
ENSG00000139508,222.1179222876242,-0.14229321980599777,0.13895001776492297,-1.02406046501362,0.30580671640874335,0.5947543950909434,SLC46A3
ENSG00000139514,566.4790712526949,-0.13173598230151123,0.12233885953193531,-1.076812247600877,0.28156415258024914,0.5674621076383095,SLC7A1
ENSG00000139517,133.38472230600775,-0.05764000114660744,0.16638612905840677,-0.3464231151526699,0.7290247559453198,0.8982335722273889,LNX2
ENSG00000139531,325.3690930456436,-0.24641212805213833,0.18690005990411518,-1.3184165279484366,0.18736425095005238,0.44930642076244837,SUOX
ENSG00000139537,24.811547593289383,0.3198488829805907,0.25140111182075003,1.2722651887420617,0.2032789127122807,0.4714193767856512,CCDC65
ENSG00000139546,337.7862373993459,0.26661840417343985,0.1538337151078063,1.7331597562120522,0.0830672777218764,0.27322328293063913,TARBP2
ENSG00000139567,871.0966948339812,0.8516309413630428,0.1816150967507296,4.689207872030174,2.742646683356538e-06,6.853500064432985e-05,ACVRL1
ENSG00000139579,365.06410627389073,0.03589910956387163,0.09964623058803192,0.3602656051515843,0.718648517896068,0.8931842938085286,NABP2
ENSG00000139597,189.98385362743565,0.24387678225984433,0.35523719301288714,0.6865181547896001,0.49238641997544297,0.7548231911623876,N4BP2L1
ENSG00000139613,2285.7734725237797,-0.13327356948060998,0.09986746275599152,-1.3345044101725139,0.18203860248618542,0.4416729167345955,SMARCC2
ENSG00000139618,59.92808344287695,-0.6487139315096632,0.26908837313014056,-2.4107839516199476,0.01591827481010414,0.08635925898211926,BRCA2
ENSG00000139620,339.95865221517244,-0.04799304053999464,0.08648246932412801,-0.554945307587383,0.5789320703799373,0.8119079226820677,KANSL2
ENSG00000139624,670.3540054982285,0.47383493815914474,0.09542159453849822,4.965699226163887,6.845397804039138e-07,1.9662883590673233e-05,CERS5
ENSG00000139625,1469.6686720446974,-0.24308932547390688,0.1246307044031294,-1.95047702440654,0.05111928922242126,0.19659732173664693,MAP3K12
ENSG00000139626,14.43831211993346,-0.34269903473722557,0.4654294573189418,-0.7363071446128654,0.4615437991760194,0.7328049201357882,ITGB7
ENSG00000139629,151.58365379255895,-0.4029208955848237,0.5331968913069086,-0.7556700013708484,0.44984707433664384,0.723873766013214,GALNT6
ENSG00000139631,303.15055167155776,-0.21471720860060256,0.1367750741183082,-1.5698562766990403,0.11644855156504512,0.3387672032961646,CSAD
ENSG00000139636,637.880410560086,0.28540271517709276,0.11059498981644512,2.58061161405934,0.009862546903743762,0.06015089854298699,LMBR1L
ENSG00000139637,363.27883611868106,0.020289203742772852,0.07508638139859924,0.2702114999398726,0.7869975459914142,0.9261740163356175,MYG1
ENSG00000139641,3082.249675669512,0.017668840636779426,0.0758508768854847,0.23294181112045453,0.815806590768977,0.9363100292793228,ESYT1
ENSG00000139644,10990.080288353867,0.307738637721425,0.0966471498807149,3.1841460208733126,0.0014518175581096533,0.013376592780515898,TMBIM6
ENSG00000139645,1581.8469058334576,0.09623371276297722,0.11979943622033107,0.8032901973427273,0.4218070224666307,0.701098747093062,ANKRD52
ENSG00000139651,777.261452072989,0.037748702105974696,0.11396446005660932,0.33123222877749664,0.7404690779008427,0.9036880338892114,ZNF740
ENSG00000139668,132.78847652801147,-0.40337091889431476,0.22856081024165156,-1.7648297556691406,0.07759238214322979,0.26116170663208516,WDFY2
ENSG00000139675,1182.1206257478993,0.21423555692799437,0.2452082225560429,0.873688307409962,0.3822880202785467,0.6674779187765961,HNRNPA1L2
ENSG00000139679,193.91320732054726,0.23064155487179067,0.10389926402014278,2.2198574460265337,0.0264284459271542,0.12423880602002584,LPAR6
ENSG00000139684,1952.3980617870316,0.0788773994374364,0.04578049041865994,1.7229478914731393,0.0848979486413158,0.2771260599637607,ESD
